Planeta,Massa do Planeta,Raio do Planeta,Densidade,Semi-eixo,Velocidade de Escape,Gravidade,Periodo Orbital,Excentricidade,Temperatura da Estrela,Massa da Estrela,Raio da Estrela,Metalicidade,Insolacao,Luminosidade,Luminosidade UV,Luminosidade Raios-X,Tem Atmosfera,Zona Venus,Zona Habitavel,Zona Marte,Zona Habitavel UV,Zona Muito UV,Zona Habitavel Raios-x,Ar Escapa,C Escapa,CH4 Escapa,CO Escapa,CO2 Escapa,H2 Escapa,H2O Escapa,He Escapa,N Escapa,N2 Escapa,O Escapa,O2 Escapa,n,Omega,Acoplado por Marés,Aquecido por marés,Grupos
AU Mic d,1.053,1.0140413393736043,5.549205594123631,0.0852793894781522,11392.644778964892,10.033954623905808,12.73596,0.00305,3678.0,0.51,0.744,0.23,12.595396249887385,0.0916009546844428,1.2182029025317704e+27,3.522972717163673e+29,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,5.709998783812104e-06,0.0001688224218016,True,False,Mércurios Análogos
EARTH,1.0,1.0,5.495021865555213,1.0,11179.90725689236,9.798398133669464,365.256,0.0167,5772.0,1.0,1.0,0.0,1.0,1.0,1.6565781528799725e+31,3.846e+30,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1.9912067568878666e-07,0.0001743332769624,False,False,Terras
EPIC 201170410.02,1.1854318696354955,1.047,5.675524184970891,0.0349,11896.060368947255,10.59591138097639,6.7987,0.0,3648.0,0.287,0.282,-0.048,10.36866895569472,0.0126291424747257,1.02470298740072e+27,4.857168195779515e+28,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1.6361428028373322e-05,0.000158171497171,True,False,Mércurios Análogos
EPIC 201757695.02,0.7000014614303562,0.90819,5.134973713823839,0.0296,9815.203683084894,8.31573416441592,2.0478,0.0,4520.0,0.727,0.655,-0.003,494.2043660763672,0.4330020973814699,9.473789770324211e+28,1.6653260665291333e+30,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,3.333849357026817e-05,0.0001411944316291,True,False,Mércurios Análogos
EPIC 201841433 b,1.1563423773387094,1.04,5.648795452200713,0.035,11788.668411238248,10.475502026625854,4.1698,0.01,5053.0,0.802,0.628461,0.0,188.4838290865117,0.2308926906309769,9.976108842616236e+29,8.880132881667373e+29,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,True,False,True,False,2.723339360720239e-05,0.0001472736598683,True,False,Mércurios Análogos
GJ 1132 b,1.83704819,1.19151465,5.967491573574926,0.0157,13881.895861964444,12.678762246709312,1.62892911,0.0118,3229.0,0.1945,0.2211,-0.17,19.35177006601492,0.004770017803572,7.789635043217487e+25,1.8345488472537977e+28,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,4.464082248136778e-05,0.0001298330527309,True,False,Mércurios Análogos
GJ 1252 b,1.32,1.193,4.271909317567945,0.00916,11759.935631997314,9.087577462863978,0.5182331,0.0,3458.0,0.381,0.391,0.1,233.5979637009665,0.0196001773031078,3.311187442584828e+26,7.538228190775266e+28,False,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,False,True,False,0.0001401965225769,3.433640262249767e-05,True,False,Mércurios Análogos
GJ 238 b,0.1214801447404849,0.566,3.681505316831143,0.02123,5179.4379626687205,3.71558773209512,1.7446999,0.01,3485.0,0.4193,0.4314,0.15,53.69328949938558,0.0242002582208076,3.902318968960435e+26,9.307419311722612e+28,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,4.1682459240903686e-05,0.0001328108676222,True,False,Mércurios Análogos
GJ 357 b,2.0866748,1.2,6.635603965453153,0.036,14742.629912294344,14.198660045760487,3.9306,0.01,3505.0,0.342,0.337,-0.12,11.859413639248745,0.0153698000764663,4.403632122382471e+26,5.911225109408966e+28,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1.7048217808467995e-05,0.000157468511584,True,False,Vênus Análogos
GJ 3929 b,1.75,1.09,7.425538937523112,0.0252,14165.893624511076,14.43245243154748,2.616235,0.0,3384.0,0.313,0.32,-0.02,17.164411526301144,0.0109000878956622,2.096858305879076e+26,4.192173804671712e+28,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2.784778826941978e-05,0.00014668513693,True,False,Vênus Análogos
GJ 9827 c,1.86,1.13,7.0834859798951,0.0395,14343.51035357287,14.27286438141218,3.648103,0.01,4236.0,0.62,0.58,-0.29,62.25036885033331,0.0971261379987325,2.4060779566136617e+28,3.735471267431255e+29,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.997183008951485e-05,0.0001545421218713,True,False,Mércurios Análogos
